
# Surface 0 of 1 surfaces

# Curve title: "r*cos(v)*cos(u),r*cos(v)*sin(u),r*sin(v)"

# IsoCurve 0, 25 points
# x y z type
 0.954369 0.0  0.0016657 i
 0.954367 0.0  0.0033314 i
 0.95437 0.0  0.0033314 i
 0.954364 0.0  0.00499709 i
 0.954365 0.0  0.00499709 i
 0.954364 -0.0  0.00499709 i
 0.95437 -0.0  0.0033314 i
 0.954367 -0.0  0.0033314 i
 0.954369 -0.0  0.0016657 i
 0.954367 -0.0  0.0016657 i
 0.954368 -0.0  0 i
 0.954367 -0.0 -0.0016657 i
 0.954369 -0.0 -0.0016657 i
 0.954367 -0.0 -0.0033314 i
 0.95437 -0.0 -0.0033314 i
 0.954364 -0.0 -0.00499709 i
 0.954365 -0.0 -0.00499709 i
 0.954364 0.0 -0.00499709 i
 0.95437 0.0 -0.0033314 i
 0.954367 0.0 -0.0033314 i
 0.954369 0.0 -0.0016657 i
 0.954367 0.0 -0.0016657 i
 0.954368 0.0 -0 i

# IsoCurve 3, 25 points
# x y z type
 0.910433 0.0 -0 i
 0.910433 0.0  0.00158904 i
 0.910432 0.0  0.00317808 i
 0.910431 0.0  0.0047671 i
 0.910436 0.0  0.0047671 i
